,state,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc
1070,Survey Target,0.5563871264457703,-0.006246994715183973,-1.8285704851150513,0.0070425900630652905,0.1401277631521225,0.2149430364370346,1.0,-50.0,-1151.0
1071,Survey Target,0.5573238730430603,-0.005687148310244083,-1.7674769163131714,0.003678553272038698,0.13847680389881134,0.21626298129558563,2.0,-50.0,-1149.0
1072,Survey Target,0.5579084157943726,-0.005383934825658798,-1.7063686847686768,0.0028321631252765656,0.1375105082988739,0.21617630124092102,2.0,-50.0,-1147.0
1073,Survey Target,0.5581180453300476,-0.005363400559872389,-1.6453944444656372,0.00047844694927334785,0.13726238906383514,0.21674421429634094,-2.0,-50.0,-1149.0
1074,Survey Target,0.5581247806549072,-0.0051958197727799416,-1.5843366384506226,0.000629989430308342,0.1383368968963623,0.2163497507572174,-3.0,-50.0,-1151.0
1075,Survey Target,0.5582879781723022,-0.004893411882221699,-1.5232875347137451,0.0012382861459627748,0.13929280638694763,0.2164725512266159,-3.0,-50.0,-1154.0
1076,Survey Target,0.5584813356399536,-0.0043074325658380985,-1.4620808362960815,-0.00010008562821894884,0.14076493680477142,0.2163199484348297,-3.0,-50.0,-1151.0
1077,Survey Target,0.5581231117248535,-0.0038523173425346613,-1.4009627103805542,-0.0018806635634973645,0.1378706395626068,0.21611793339252472,2.0,-50.0,-1147.0
1078,Survey Target,0.5574191212654114,-0.003733256133273244,-1.3399409055709839,-0.002933358307927847,0.13634370267391205,0.21656572818756104,7.0,-50.0,-1142.0
1079,Survey Target,0.5565765500068665,-0.004107129294425249,-1.2791078090667725,-0.002519174013286829,0.1335233896970749,0.21672600507736206,2.0,-50.0,-1139.0
1080,Survey Target,0.5560697317123413,-0.004702033940702677,-1.218522310256958,0.0007093324093148112,0.13345488905906677,0.21574458479881287,-2.0,-50.0,-1144.0
1081,Survey Target,0.5564360618591309,-0.004730182699859142,-1.1579962968826294,0.0032542203553020954,0.13690847158432007,0.21530728042125702,-4.0,-51.0,-1145.0
1082,Survey Target,0.5571748614311218,-0.004605875816196203,-1.0973140001296997,0.003702430985867977,0.13562197983264923,0.21587403118610382,0.0,-50.0,-1144.0
1083,Survey Target,0.5573397874832153,-0.004807610064744949,-1.036498785018921,-0.0008460009703412652,0.13611920177936554,0.21710586547851562,0.0,-50.0,-1146.0
1084,Survey Target,0.5572441816329956,-0.004909132607281208,-0.9755252003669739,0.0005555909592658281,0.1371837854385376,0.21671265363693237,6.0,-50.0,-1144.0
1085,Survey Target,0.5569667220115662,-0.0049835797399282455,-0.9146279692649841,-0.0017042139079421759,0.13460901379585266,0.2162068486213684,4.0,-50.0,-1141.0
1086,Survey Target,0.5563849210739136,-0.005420607049018145,-0.8540161848068237,-0.0013756112894043326,0.13454797863960266,0.21642640233039856,2.0,-50.0,-1144.0
1087,Survey Target,0.5562482476234436,-0.005513099953532219,-0.7933486700057983,0.0006076069548726082,0.135362446308136,0.21569973230361938,7.0,-50.0,-1145.0
1088,Survey Target,0.556361734867096,-0.005492386873811483,-0.7327526807785034,0.001014342182315886,0.1355808675289154,0.2152530550956726,8.0,-50.0,-1147.0
1089,Survey Target,0.556382417678833,-0.005333404056727886,-0.6720578074455261,0.0005603022873401642,0.13660652935504913,0.2154475450515747,4.0,-50.0,-1146.0
1090,Survey Target,0.5564029216766357,-0.0052199154160916805,-0.6113764047622681,0.0009986275108531117,0.13588947057724,0.21553677320480347,1.0,-50.0,-1147.0
1091,Survey Target,0.5566861033439636,-0.005041754804551601,-0.5507068634033203,0.0023580079432576895,0.1367315649986267,0.21534517407417297,1.0,-50.0,-1147.0
1092,Survey Target,0.557099461555481,-0.004899513907730579,-0.49005603790283203,0.0024426421150565147,0.1365155726671219,0.2152526080608368,1.0,-50.0,-1146.0
1093,Survey Target,0.5575547218322754,-0.004814233630895615,-0.4293907880783081,0.0025975508615374565,0.13657939434051514,0.21556253731250763,1.0,-50.0,-1148.0
1094,Survey Target,0.558064341545105,-0.004597933497279882,-0.36858952045440674,0.0026006000116467476,0.13836418092250824,0.2157544493675232,1.0,-50.0,-1151.0
1095,Survey Target,0.5585997700691223,-0.004213911946862936,-0.3076589107513428,0.002472194842994213,0.13937431573867798,0.2158702313899994,-4.0,-50.0,-1155.0
1096,Survey Target,0.5592893362045288,-0.003549046814441681,-0.24653834104537964,0.0023041912354528904,0.1418319046497345,0.21641360223293304,-4.0,-50.0,-1156.0
1097,Survey Target,0.5596157908439636,-0.0027678494807332754,-0.18509237468242645,-0.00016368634533137083,0.14106206595897675,0.21656964719295502,1.0,-50.0,-1152.0
1098,Survey Target,0.559120237827301,-0.0023262931499630213,-0.12387631088495255,-0.0037333231884986162,0.1392568200826645,0.2165863960981369,1.0,-50.0,-1149.0
1099,Survey Target,0.558191180229187,-0.00207290006801486,-0.0628167986869812,-0.004004099406301975,0.13800618052482605,0.21628130972385406,-3.0,-50.0,-1148.0
1100,Survey Target,0.5573818683624268,-0.00192529265768826,-0.001960922032594681,-0.0029405427630990744,0.13778933882713318,0.21585650742053986,1.0,-50.0,-1146.0
1101,Survey Target,0.5566641688346863,-0.0018715244950726628,0.05877979099750519,-0.0034681439865380526,0.13613641262054443,0.21580290794372559,2.0,-50.0,-1144.0
1102,Survey Target,0.5560332536697388,-0.0019779610447585583,0.11940553784370422,-0.0017373659648001194,0.13569188117980957,0.21615326404571533,0.0,-49.0,-1145.0
1103,Survey Target,0.5558790564537048,-0.0020820624195039272,0.18005022406578064,-0.0004757894203066826,0.13623426854610443,0.21604393422603607,5.0,-50.0,-1144.0
1104,Survey Target,0.5557072162628174,-0.002094039460644126,0.2406780868768692,-0.002256230916827917,0.13488055765628815,0.21528774499893188,8.0,-49.0,-1139.0
1105,Survey Target,0.5551658868789673,-0.0024839516263455153,0.30110424757003784,-0.002288562711328268,0.13193269073963165,0.21580399572849274,8.0,-50.0,-1137.0
1106,Survey Target,0.5546570420265198,-0.00318723707459867,0.3612993061542511,-0.0004158628871664405,0.13219185173511505,0.21516995131969452,10.0,-50.0,-1138.0
1107,Survey Target,0.5545448660850525,-0.003647126955911517,0.42140501737594604,0.0002430264139547944,0.13251523673534393,0.21478235721588135,8.0,-50.0,-1141.0
